time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
58.000,0,48,3,47,2,0,0,a3,-8.76,-4.64,0.00,1.00,1,1,64.887392,35.953442,0.0,static,20.1,25.0,
60.000,15,39,2,38,1,0,0,a3,-15.24,-12.20,0.00,9.00,1,1,26.822206,-11.610507,20.6,vehicular,12.3,15.8,
60.000,33,38,2,37,1,0,0,a3,-3.80,1.51,0.00,3.00,1,1,39.432590,-3.521291,0.0,static,44.9,46.6,
62.000,13,2,38,1,37,0,0,a3,-16.35,-9.10,0.00,10.00,1,0,47.679330,16.849903,77.4,hst,15.1,17.2,
64.000,8,38,3,37,2,0,0,a3,-9.78,-5.53,0.00,9.00,1,1,56.332579,4.752331,0.0,static,21.7,20.8,
64.000,33,2,38,1,37,0,0,a3,-1.96,1.35,0.00,4.00,1,1,39.432590,-3.521291,0.0,static,47.3,46.2,
64.000,45,2,38,1,37,0,0,a3,-19.91,-16.75,0.00,1064.00,1,0,31.677716,-18.552945,1.5,pedestrian,11.1,11.6,
65.000,9,38,2,37,1,0,0,a3,-19.72,-14.55,0.00,36.00,1,0,49.961199,19.638143,0.0,static,13.4,10.6,
65.000,31,2,38,1,37,0,0,a3,-2.80,1.13,0.00,17.00,1,0,42.112215,5.703043,0.5,pedestrian,44.0,37.4,
65.000,33,38,2,37,1,0,0,a3,-1.26,2.16,0.00,1.00,1,1,39.432590,-3.521291,0.0,static,46.6,47.5,
66.000,0,3,48,2,47,0,0,a3,-10.24,-4.97,0.00,8.00,1,1,64.887392,35.953442,0.0,static,25.0,21.1,
66.000,8,3,38,2,37,0,0,a3,-9.89,-6.52,0.00,2.00,1,1,56.332579,4.752331,0.0,static,20.5,21.4,
66.000,19,3,49,2,48,0,0,a3,-18.81,-14.76,0.00,21.00,1,0,55.111534,32.880510,0.0,static,11.6,11.2,
67.000,31,38,2,37,1,0,0,a3,-0.52,2.52,0.00,2.00,1,1,42.112206,5.703046,0.5,pedestrian,37.6,44.6,
68.000,0,48,3,47,2,0,0,a3,-9.14,-5.29,0.00,2.00,1,1,64.887392,35.953442,0.0,static,21.4,25.0,
68.000,9,2,38,1,37,0,0,a3,-16.40,-11.39,0.00,3.00,0,1,49.961199,19.638143,0.0,static,10.8,13.3,LowSINR
69.000,13,38,2,37,1,0,0,a3,-16.79,-11.66,0.00,7.00,1,1,47.684091,16.851415,77.4,hst,17.0,15.7,
72.000,0,3,48,2,47,0,0,a3,-12.09,-8.68,0.00,4.00,1,1,64.887392,35.953442,0.0,static,25.0,21.8,
72.000,33,2,38,1,37,0,0,a3,-2.18,2.41,0.00,7.00,1,1,39.432590,-3.521291,0.0,static,48.7,48.9,
73.000,9,2,38,1,37,0,0,a3,-21.50,-13.37,0.00,8.00,1,1,49.961199,19.638143,0.0,static,11.1,13.0,
73.000,33,38,2,37,1,0,0,a3,-2.34,2.56,0.00,1.00,1,1,39.432590,-3.521291,0.0,static,49.3,48.9,
74.000,18,38,3,37,2,0,0,a3,-17.52,-13.79,0.00,47.00,0,0,52.607630,18.866636,1.7,pedestrian,12.7,11.8,LowSINR
74.000,31,2,38,1,37,0,0,a3,-3.45,0.83,0.00,7.00,1,1,42.112176,5.703056,0.5,pedestrian,46.7,38.2,
75.000,0,48,3,47,2,0,0,a3,-7.29,-2.47,0.00,3.00,1,1,64.887392,35.953442,0.0,static,22.2,24.9,
75.000,45,38,2,37,1,0,0,a3,-16.79,-10.48,0.00,11.00,1,0,31.677657,-18.552783,1.5,pedestrian,12.3,10.9,
76.000,13,2,38,1,37,0,0,a3,-14.70,-11.65,0.00,7.00,0,1,47.688852,16.852927,77.4,hst,16.3,16.8,LowSINR
76.000,33,2,38,1,37,0,0,a3,2.13,6.77,0.00,3.00,1,1,39.432590,-3.521291,0.0,static,49.4,50.3,
76.000,41,2,38,1,37,0,0,a3,-13.90,-9.62,0.00,1076.00,0,0,28.816876,-10.266989,0.9,pedestrian,19.2,13.6,LowSINR
77.000,19,49,3,48,2,0,0,a3,-20.63,-16.96,0.00,11.00,1,0,55.111534,32.880510,0.0,static,10.5,11.1,
77.000,36,3,48,2,47,0,0,a3,-10.29,-3.99,0.00,1077.00,1,0,64.292688,33.594430,33.0,vehicular,26.1,20.6,
77.000,45,2,38,1,37,0,0,a3,-19.83,-13.52,0.00,2.00,0,1,31.677646,-18.552753,1.5,pedestrian,10.8,12.4,LowSINR
78.000,13,2,38,1,37,0,0,a3,-15.93,-9.51,0.00,9.00,1,1,47.690212,16.853359,77.4,hst,16.5,16.7,
79.000,45,2,38,1,37,0,0,a3,-16.45,-11.55,0.00,4.00,1,1,31.677636,-18.552724,1.5,pedestrian,10.8,12.5,
80.000,0,3,48,2,47,0,0,a3,-9.30,-6.28,0.00,5.00,1,1,64.887392,35.953442,0.0,static,24.9,22.9,
80.000,36,48,3,47,2,0,0,a3,-12.62,-6.39,0.00,3.00,1,1,64.293551,33.594936,33.0,vehicular,21.0,26.0,
81.000,33,38,2,37,1,0,0,a3,0.86,4.13,0.00,5.00,1,1,39.432590,-3.521291,0.0,static,52.2,50.1,
82.000,8,38,3,37,2,0,0,a3,-14.27,-10.17,0.00,16.00,1,0,56.332579,4.752331,0.0,static,19.4,18.4,
83.000,9,38,2,37,1,0,0,a3,-15.00,-11.59,0.00,10.00,0,0,49.961199,19.638143,0.0,static,12.6,11.9,LowSINR
83.000,41,2,38,1,37,0,0,a3,-15.34,-11.69,0.00,1083.00,0,0,28.816885,-10.266927,0.9,pedestrian,18.7,14.2,LowSINR
84.000,0,48,3,47,2,0,0,a3,-10.99,-6.94,0.00,4.00,1,1,64.887392,35.953442,0.0,static,23.4,24.8,
85.000,31,38,2,37,1,0,0,a3,-2.16,3.81,0.00,11.00,1,0,42.112127,5.703072,0.5,pedestrian,39.0,50.1,
85.000,45,38,2,37,1,0,0,a3,-18.58,-14.78,0.00,6.00,0,1,31.677603,-18.552636,1.5,pedestrian,12.9,10.7,LowSINR
86.000,23,0,2,4294967295,1,0,0,a3,-100.00,-16.93,0.00,1086.00,0,0,43.826342,25.874869,1.1,pedestrian,0.0,10.0,LowSINR
87.000,23,0,2,4294967295,1,0,0,a3,-100.00,-12.72,0.00,1087.00,0,0,43.826350,25.874861,1.1,pedestrian,0.0,10.0,LowSINR
88.000,9,38,2,37,1,0,0,a3,-18.42,-13.18,0.00,15.00,1,0,49.961199,19.638143,0.0,static,12.4,12.3,
88.000,23,0,2,4294967295,1,0,0,a3,-100.00,-17.58,0.00,1088.00,0,0,43.826358,25.874853,1.1,pedestrian,0.0,10.1,LowSINR
89.000,9,2,38,1,37,0,0,a3,-18.84,-12.05,0.00,1.00,1,1,49.961199,19.638143,0.0,static,12.3,12.4,
89.000,23,0,2,4294967295,1,0,0,a3,-100.00,-14.04,0.00,1089.00,0,0,43.826367,25.874845,1.1,pedestrian,0.0,10.1,LowSINR
89.000,33,2,38,1,37,0,0,a3,0.34,5.65,0.00,8.00,1,1,39.432590,-3.521291,0.0,static,51.1,55.2,
90.000,15,2,38,1,37,0,0,a3,-17.36,-12.13,0.00,30.00,0,0,26.826326,-11.614675,20.6,vehicular,13.8,11.1,LowSINR
90.000,23,0,2,4294967295,1,0,0,a3,-100.00,-18.71,0.00,1090.00,0,0,43.826375,25.874838,1.1,pedestrian,0.0,10.2,LowSINR
91.000,23,0,2,4294967295,1,0,0,a3,-100.00,-13.56,0.00,1091.00,1,0,43.826383,25.874830,1.1,pedestrian,0.0,10.2,
92.000,15,2,38,1,37,0,0,a3,-16.14,-12.57,0.00,32.00,1,0,26.826601,-11.614953,20.6,vehicular,13.7,11.3,
92.000,45,38,2,37,1,0,0,a3,-18.41,-14.67,0.00,13.00,1,0,31.677566,-18.552533,1.5,pedestrian,13.3,10.5,
94.000,15,38,2,37,1,0,0,a3,-16.39,-13.24,0.00,2.00,1,1,26.826876,-11.615231,20.6,vehicular,11.5,13.6,
94.000,41,2,38,1,37,0,0,a3,-16.18,-13.14,0.00,1094.00,0,0,28.816900,-10.266830,0.9,pedestrian,17.8,15.3,LowSINR
95.000,15,2,38,1,37,0,0,a3,-16.31,-12.92,0.00,1.00,0,1,26.827013,-11.615370,20.6,vehicular,13.5,11.6,LowSINR
95.000,41,2,38,1,37,0,0,a3,-15.96,-11.63,0.00,1095.00,1,0,28.816902,-10.266821,0.9,pedestrian,17.7,15.4,
96.000,9,38,2,37,1,0,0,a3,-17.29,-11.33,0.00,7.00,1,1,49.961199,19.638143,0.0,static,12.0,12.9,
96.000,41,38,2,37,1,0,0,a3,-15.01,-11.13,0.00,1.00,0,1,28.816903,-10.266813,0.9,pedestrian,15.5,17.7,LowSINR
96.000,45,2,38,1,37,0,0,a3,-18.81,-13.19,0.00,4.00,1,1,31.677545,-18.552474,1.5,pedestrian,10.4,13.6,
97.000,0,3,48,2,47,0,0,a3,-8.13,-4.93,0.00,13.00,1,0,64.887392,35.953442,0.0,static,24.5,25.1,
97.000,41,38,2,37,1,0,0,a3,-15.42,-11.72,0.00,2.00,0,1,28.816905,-10.266804,0.9,pedestrian,15.6,17.6,LowSINR
