time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
152.000,4,47,0,48,36.66,22.00,25.00,0,a3
152.000,7,1,0,2,47.13,22.00,25.00,0,a3
152.000,21,36,0,37,41.33,22.00,25.00,0,a3
152.000,36,47,0,48,45.26,22.00,25.00,1,a3
152.000,39,36,0,37,31.07,22.00,25.00,0,a3
153.000,4,47,0,48,33.49,22.00,25.00,0,a3
153.000,21,36,0,37,31.17,22.00,25.00,0,a3
153.000,36,2,0,3,39.53,22.00,25.00,0,a3
154.000,4,47,0,48,34.92,22.00,25.00,0,a3
155.000,21,36,0,37,40.44,22.00,25.00,0,a3
155.000,28,2,0,3,36.58,22.00,25.00,0,a3
156.000,21,36,0,37,36.31,22.00,25.00,0,a3
156.000,24,1,0,2,38.77,18.00,21.00,0,a3
156.000,28,2,0,3,40.28,22.00,25.00,0,a3
157.000,4,47,0,48,34.46,22.00,25.00,0,a3
157.000,21,36,0,37,42.50,22.00,25.00,0,a3
157.000,39,2,0,3,36.48,22.00,25.00,0,a3
158.000,4,2,0,3,31.41,22.00,25.00,0,a3
158.000,17,37,0,38,35.33,22.00,25.00,0,a3
158.000,21,36,0,37,41.89,22.00,25.00,1,a3
158.000,36,2,0,3,34.63,22.00,25.00,0,a3
159.000,4,2,0,3,33.27,22.00,25.00,0,a3
159.000,21,36,0,37,39.49,22.00,25.00,1,a3
159.000,26,1,0,2,44.21,22.00,25.00,1,a3
159.000,39,36,0,37,32.74,22.00,25.00,0,a3
160.000,4,47,0,48,33.95,22.00,25.00,0,a3
161.000,39,2,0,3,33.03,22.00,25.00,0,a3
163.000,21,2,0,3,38.18,22.00,25.00,0,a3
164.000,46,1,0,2,27.70,18.00,21.00,0,a3
165.000,11,1,0,2,33.12,22.00,25.00,0,a3
165.000,36,2,0,3,35.67,22.00,25.00,0,a3
167.000,11,1,0,2,38.63,22.00,25.00,0,a3
167.000,26,1,0,2,39.83,25.00,28.00,1,a3
168.000,21,2,0,3,37.37,22.00,25.00,1,a3
168.000,26,37,0,38,50.57,25.00,28.00,1,a3
169.000,26,1,0,2,52.00,25.00,28.00,1,a3
169.000,32,1,0,2,32.06,22.00,25.00,0,a3
170.000,26,37,0,38,48.88,25.00,28.00,1,a3
171.000,21,2,0,3,31.62,22.00,25.00,0,a3
171.000,26,37,0,38,50.38,25.00,28.00,1,a3
173.000,11,1,0,2,34.46,22.00,25.00,0,a3
174.000,11,1,0,2,33.27,22.00,25.00,0,a3
175.000,26,37,0,38,46.70,25.00,28.00,1,a3
177.000,11,1,0,2,35.30,22.00,25.00,0,a3
177.000,20,1,0,2,25.67,22.00,25.00,0,a3
177.000,26,37,0,38,50.64,25.00,28.00,1,a3
178.000,8,1,0,2,37.81,22.00,25.00,0,a3
178.000,11,1,0,2,32.52,22.00,25.00,0,a3
178.000,20,1,0,2,33.05,22.00,25.00,0,a3
178.000,25,1,0,2,55.98,25.00,28.00,1,a3
179.000,11,1,0,2,34.85,22.00,25.00,0,a3
180.000,11,1,0,2,41.01,22.00,25.00,0,a3
180.000,20,1,0,2,36.30,22.00,25.00,0,a3
180.000,38,1,0,2,35.86,18.00,21.00,0,a3
181.000,11,1,0,2,37.39,22.00,25.00,1,a3
181.000,20,37,0,38,41.06,22.00,25.00,1,a3
182.000,11,1,0,2,38.40,22.00,25.00,0,a3
182.000,20,1,0,2,38.56,22.00,25.00,0,a3
183.000,20,1,0,2,39.46,22.00,25.00,0,a3
183.000,25,37,0,38,63.40,25.00,28.00,1,a3
184.000,11,1,0,2,30.90,22.00,25.00,0,a3
186.000,3,37,0,38,28.92,22.00,25.00,0,a3
186.000,20,1,0,2,34.94,22.00,25.00,0,a3
186.000,26,1,0,2,49.61,25.00,28.00,1,a3
187.000,11,1,0,2,37.50,22.00,25.00,0,a3
187.000,20,1,0,2,33.38,22.00,25.00,0,a3
188.000,3,37,0,38,32.42,22.00,25.00,0,a3
188.000,11,1,0,2,35.91,22.00,25.00,0,a3
188.000,25,1,0,2,57.48,25.00,28.00,1,a3
189.000,20,37,0,38,41.41,22.00,25.00,0,a3
190.000,20,37,0,38,40.20,22.00,25.00,0,a3
191.000,11,1,0,2,36.24,22.00,25.00,0,a3
191.000,20,37,0,38,36.79,22.00,25.00,0,a3
191.000,25,37,0,38,59.97,25.00,28.00,1,a3
192.000,3,37,0,38,35.66,22.00,25.00,0,a3
192.000,20,37,0,38,39.09,22.00,25.00,0,a3
192.000,25,1,0,2,61.34,25.00,28.00,1,a3
192.000,26,37,0,38,47.15,25.00,28.00,1,a3
193.000,20,37,0,38,39.57,22.00,25.00,0,a3
193.000,40,1,0,2,35.98,22.00,25.00,0,a3
194.000,3,37,0,38,30.30,22.00,25.00,0,a3
194.000,11,1,0,2,37.34,22.00,25.00,0,a3
195.000,11,37,0,38,39.22,22.00,25.00,0,a3
195.000,26,1,0,2,50.06,25.00,28.00,1,a3
