time_s,sat_id,lat,lon,altitude_km,velocity_mps
58.000,30,-84.072394,-22.944584,780.0,6652
58.000,31,-61.773260,113.026908,780.0,6652
58.000,32,-29.194436,117.743092,780.0,6652
58.000,33,3.462665,179.975790,780.0,6652
58.000,34,36.114098,-177.611420,780.0,6652
58.000,35,68.632618,-170.988488,780.0,6652
58.000,36,77.812527,-17.178142,780.0,6652
58.000,37,45.505969,-3.913820,780.0,6652
58.000,38,12.868236,-1.065851,780.0,6652
58.000,39,-19.792383,1.055029,780.0,6652
58.000,40,-52.413011,4.445958,780.0,6652
58.000,41,-84.072394,37.055416,780.0,6652
58.000,42,-61.773260,173.026908,780.0,6652
58.000,43,-29.194436,177.743092,780.0,6652
58.000,44,3.462665,-120.024210,780.0,6652
58.000,45,36.114098,-117.611420,780.0,6652
58.000,46,68.632618,-110.988488,780.0,6652
58.000,47,77.812527,42.821858,780.0,6652
58.000,48,45.505969,56.086180,780.0,6652
58.000,49,12.868236,58.934149,780.0,6652
58.000,50,-19.792383,61.055029,780.0,6652
58.000,51,-52.413011,64.445958,780.0,6652
58.000,52,-84.072394,97.055416,780.0,6652
58.000,53,-61.773260,-126.973092,780.0,6652
58.000,54,-29.194436,-122.256908,780.0,6652
58.000,55,3.462665,-60.024210,780.0,6652
58.000,56,36.114098,-57.611420,780.0,6652
58.000,57,68.632618,-50.988488,780.0,6652
58.000,58,77.812527,102.821858,780.0,6652
58.000,59,45.505969,116.086180,780.0,6652
58.000,60,12.868236,118.934149,780.0,6652
58.000,61,-19.792383,121.055029,780.0,6652
58.000,62,-52.413011,124.445958,780.0,6652
58.000,63,-84.072394,157.055416,780.0,6652
58.000,64,-61.773260,-66.973092,780.0,6652
58.000,65,-29.194436,-62.256908,780.0,6652
60.000,0,3.582067,-0.025025,780.0,6652
60.000,1,36.233374,2.391752,780.0,6652
60.000,2,68.750457,9.060045,780.0,6652
60.000,3,77.698253,162.980516,780.0,6652
60.000,4,45.386810,176.093086,780.0,6652
60.000,5,12.748846,178.933694,780.0,6652
60.000,6,-19.911755,-178.944835,780.0,6652
60.000,7,-52.532012,-175.542153,780.0,6652
60.000,8,-84.166926,-142.237175,780.0,6652
60.000,9,-61.654676,-6.947995,780.0,6652
60.000,10,-29.075107,-2.255418,780.0,6652
60.000,11,3.582067,59.974975,780.0,6652
