time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
67.000,27,39,2,38,1,0,0,time,-12.46,-0.25,0.00,46.00,1,0,29.085409,-2.676930,0.0,static,12.9,32.9,
68.000,17,2,38,1,37,0,0,time,-9.31,0.40,0.00,46.00,1,0,51.106193,1.698712,32.8,vehicular,17.3,38.8,
69.000,24,38,2,37,1,0,0,time,-9.60,-15.87,0.00,1069.00,1,0,47.052413,-15.794435,1.2,pedestrian,33.3,12.7,
72.000,20,2,38,1,37,0,0,time,-15.16,-0.55,0.00,46.00,1,0,44.915788,-15.556930,21.3,vehicular,14.9,34.4,
72.000,42,38,3,37,2,0,0,time,-100.00,-9.01,0.00,46.00,0,0,58.585946,17.400181,2.1,pedestrian,0.0,24.3,LowSINR
73.000,1,37,3,36,2,0,0,time,-8.39,-2.68,0.00,46.00,1,0,64.962883,-5.836631,2.3,pedestrian,21.8,38.0,
73.000,21,3,37,2,36,0,0,time,-5.82,-15.96,0.00,1073.00,1,0,62.666008,2.836850,35.4,vehicular,38.3,15.2,
73.000,22,3,38,2,37,0,0,time,-18.71,-6.16,0.00,46.00,1,0,55.906152,-10.847355,20.2,vehicular,13.8,22.4,
73.000,42,38,3,37,2,0,0,time,-100.00,-7.68,0.00,47.00,1,0,58.585948,17.400217,2.1,pedestrian,0.0,24.2,
74.000,7,2,38,1,37,0,0,time,-6.28,-4.28,0.00,1074.00,1,0,32.902036,-2.622221,0.0,static,45.5,23.6,
75.000,16,2,38,1,37,0,0,time,-4.60,-1.52,0.00,47.00,1,0,46.613263,6.872263,27.6,vehicular,28.3,36.3,
77.000,38,2,38,1,37,0,0,time,-6.11,-15.82,0.00,1077.00,0,0,30.841310,10.527324,0.0,static,30.8,11.6,LowSINR
79.000,43,3,38,2,37,0,0,time,-15.75,-7.67,0.00,46.00,1,0,54.469704,-10.110603,28.5,vehicular,11.4,25.5,
81.000,40,3,38,2,37,0,0,time,-14.18,-6.89,0.00,46.00,1,0,55.569665,-7.235978,0.0,static,13.9,23.7,
84.000,35,3,38,2,37,0,0,time,-15.45,-8.63,0.00,46.00,1,0,54.638222,-2.079185,0.0,static,13.6,26.2,
84.000,38,2,38,1,37,0,0,time,-5.95,-14.63,0.00,1084.00,1,0,30.841310,10.527324,0.0,static,29.9,12.1,
86.000,23,0,2,4294967295,1,0,0,time,-100.00,-16.31,0.00,1086.00,0,0,43.826342,25.874869,1.1,pedestrian,0.0,10.0,LowSINR
87.000,23,0,2,4294967295,1,0,0,time,-100.00,-15.12,0.00,1087.00,1,0,43.826350,25.874861,1.1,pedestrian,0.0,10.0,
87.000,45,38,2,37,1,0,0,time,-14.25,-16.41,0.00,46.00,0,0,31.677593,-18.552606,1.5,pedestrian,13.0,10.6,LowSINR
87.000,46,38,2,37,1,0,0,time,-6.96,-17.20,0.00,1087.00,0,0,49.368497,-17.909864,0.7,pedestrian,25.0,10.1,LowSINR
88.000,45,38,2,37,1,0,0,time,-13.45,-16.45,0.00,47.00,1,0,31.677587,-18.552591,1.5,pedestrian,13.1,10.6,
88.000,46,38,2,37,1,0,0,time,-9.38,-17.56,0.00,1088.00,0,0,49.368499,-17.909872,0.7,pedestrian,24.9,10.2,LowSINR
89.000,46,38,2,37,1,0,0,time,-6.22,-16.08,0.00,1089.00,0,0,49.368502,-17.909881,0.7,pedestrian,24.8,10.2,LowSINR
90.000,3,2,38,1,37,0,0,time,-6.39,-14.05,0.00,1090.00,1,0,34.239116,12.077608,69.7,hst,33.0,15.3,
90.000,46,38,2,37,1,0,0,time,-7.14,-18.59,0.00,1090.00,1,0,49.368504,-17.909889,0.7,pedestrian,24.7,10.3,
92.000,2,3,14,2,13,0,0,time,-7.73,-15.47,0.00,46.00,1,0,62.418902,30.781150,3.5,pedestrian,23.9,12.3,
92.000,15,2,38,1,37,0,0,time,-12.72,-15.38,0.00,46.00,1,0,26.826601,-11.614953,20.6,vehicular,13.7,11.3,
93.000,0,3,48,2,47,0,0,time,-9.17,-5.22,0.00,46.00,1,0,64.887392,35.953442,0.0,static,24.6,24.6,
93.000,13,38,2,37,1,0,0,time,-11.94,-12.42,0.00,46.00,1,0,47.700414,16.856600,77.4,hst,16.1,17.9,
93.000,41,2,38,1,37,0,0,time,-14.22,-13.18,0.00,46.00,1,0,28.816899,-10.266839,0.9,pedestrian,17.9,15.2,
