time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
173.000,25,38,2,37,1,0,0,tte-aware,-2.31,2.24,57.29,1173.00,1,0,43.608443,-6.162329,24.2,vehicular,48.5,42.5,
174.000,26,38,2,37,1,0,0,tte-aware,-3.46,0.66,47.21,1174.00,1,0,45.754521,-9.665955,1.2,pedestrian,33.8,31.1,
175.000,32,38,2,37,1,0,0,tte-aware,-15.53,-4.95,37.15,1175.00,1,0,51.172951,-12.213823,0.0,static,18.1,20.6,
176.000,8,38,2,37,1,0,0,tte-aware,-100.00,-11.19,0.00,131.00,1,0,56.332579,4.752331,0.0,static,0.0,19.8,
177.000,35,38,2,37,1,0,0,tte-aware,-12.58,-4.17,39.16,1177.00,1,0,54.638222,-2.079185,0.0,static,13.9,23.2,
179.000,37,3,48,2,47,0,0,tte-aware,-100.00,-18.00,0.00,1179.00,1,0,57.553146,25.754678,1.2,pedestrian,0.0,13.6,
179.000,39,3,37,2,36,0,0,tte-aware,-13.76,-4.28,37.43,1179.00,1,0,61.657748,7.729151,0.0,static,17.8,23.3,
181.000,11,38,2,37,1,0,0,tte-aware,-5.02,-4.78,33.51,1181.00,1,0,43.900889,-14.196107,81.7,hst,29.0,22.3,
186.000,10,38,2,37,1,0,0,tte-aware,-1.92,2.06,57.87,1186.00,1,0,42.845380,-6.672527,0.0,static,47.5,40.5,
186.000,22,38,2,37,1,0,0,tte-aware,-100.00,-14.09,0.00,1186.00,1,0,55.900938,-10.882693,20.2,vehicular,0.0,16.3,
189.000,47,2,38,1,37,0,0,tte-aware,-100.00,-12.17,0.00,1189.00,1,0,25.642092,7.591082,78.9,hst,0.0,15.5,
196.000,25,2,38,1,37,0,0,tte-aware,-3.65,1.13,50.87,23.00,1,0,43.613200,-6.160227,24.2,vehicular,42.6,41.6,
196.000,40,38,2,37,1,0,0,tte-aware,-15.30,-3.92,40.87,1196.00,1,0,55.569665,-7.235978,0.0,static,10.3,20.6,
200.000,11,2,38,1,37,0,0,tte-aware,-7.77,-1.85,38.55,19.00,1,0,43.914601,-14.192600,81.7,hst,22.5,26.6,
205.000,10,2,38,1,37,0,0,tte-aware,-3.91,1.04,60.58,19.00,1,0,42.845380,-6.672527,0.0,static,39.5,41.9,
206.000,42,3,48,2,47,0,0,tte-aware,-100.00,-14.65,0.00,1206.00,1,0,58.586200,17.405053,2.1,pedestrian,0.0,12.0,
207.000,29,2,38,1,37,0,0,tte-aware,-100.00,-17.16,0.00,1207.00,0,0,28.664826,14.202764,1.5,pedestrian,0.0,12.8,LowSINR
207.000,38,2,38,1,37,0,0,tte-aware,-15.72,-3.53,41.39,1207.00,1,0,30.841310,10.527324,0.0,static,15.4,20.3,
207.000,43,38,2,37,1,0,0,tte-aware,-12.21,-4.38,39.92,1207.00,1,0,54.465297,-10.166551,28.5,vehicular,10.4,21.3,
208.000,29,2,38,1,37,0,0,tte-aware,-100.00,-15.77,0.00,1208.00,0,0,28.664838,14.202758,1.5,pedestrian,0.0,12.8,LowSINR
209.000,29,2,38,1,37,0,0,tte-aware,-100.00,-12.75,0.00,1209.00,0,0,28.664850,14.202752,1.5,pedestrian,0.0,12.9,LowSINR
210.000,29,2,38,1,37,0,0,tte-aware,-100.00,-14.74,0.00,1210.00,1,0,28.664863,14.202746,1.5,pedestrian,0.0,12.9,
211.000,20,38,2,37,1,0,0,tte-aware,-7.31,-3.82,39.20,1211.00,1,0,44.899460,-15.527329,21.3,vehicular,21.7,20.6,
212.000,3,2,38,1,37,0,0,tte-aware,-5.04,-4.94,33.79,1212.00,1,0,34.314230,12.094747,69.7,hst,20.1,20.6,
216.000,22,2,37,1,36,0,0,tte-aware,-12.98,-3.76,28.10,30.00,1,0,55.899554,-10.892074,20.2,vehicular,19.3,21.0,
219.000,24,38,2,37,1,0,0,tte-aware,-8.62,-4.53,38.10,1219.00,1,0,47.051162,-15.792987,1.2,pedestrian,17.3,20.7,
220.000,25,38,2,37,1,0,0,tte-aware,-6.47,0.97,56.70,24.00,1,0,43.618163,-6.158032,24.2,vehicular,35.4,41.2,
221.000,11,38,2,37,1,0,0,tte-aware,-7.59,-3.99,37.47,21.00,1,0,43.929756,-14.188722,81.7,hst,24.0,22.4,
223.000,10,38,2,37,1,0,0,tte-aware,-4.76,0.57,41.54,18.00,1,0,42.845380,-6.672527,0.0,static,37.3,37.9,
238.000,14,49,13,48,12,0,0,tte-aware,-100.00,-16.54,0.00,1238.00,1,0,46.341955,36.997178,1.9,pedestrian,0.0,11.5,
241.000,48,2,38,1,37,0,0,tte-aware,-100.00,-9.95,0.00,1241.00,0,0,29.202542,10.259495,30.7,vehicular,0.0,20.7,LowSINR
242.000,48,2,38,1,37,0,0,tte-aware,-100.00,-6.04,0.00,1242.00,1,0,29.202488,10.259805,30.7,vehicular,0.0,20.8,
243.000,25,2,38,1,37,0,0,tte-aware,-5.62,-1.19,44.92,23.00,1,0,43.622919,-6.155929,24.2,vehicular,38.7,30.4,
245.000,40,2,37,1,36,0,0,tte-aware,-9.05,-4.32,41.09,49.00,1,0,55.569665,-7.235978,0.0,static,27.1,24.4,
248.000,10,2,38,1,37,0,0,tte-aware,-6.55,-2.46,40.99,25.00,1,0,42.845380,-6.672527,0.0,static,34.9,31.7,
248.000,22,37,2,36,1,0,0,tte-aware,-5.23,-4.08,40.91,32.00,1,0,55.898077,-10.902080,20.2,vehicular,25.9,22.8,
251.000,46,38,2,37,1,0,0,tte-aware,-100.00,-12.12,0.00,1251.00,1,0,49.368902,-17.911220,0.7,pedestrian,0.0,18.5,
252.000,11,2,38,1,37,0,0,tte-aware,-8.43,-3.66,33.98,31.00,1,0,43.952129,-14.182996,81.7,hst,21.6,20.4,
258.000,25,38,2,37,1,0,0,tte-aware,-6.74,0.59,49.73,15.00,1,0,43.626021,-6.154557,24.2,vehicular,27.6,36.7,
259.000,47,38,1,37,0,0,0,tte-aware,-5.97,-4.91,36.73,70.00,1,0,25.691307,7.597853,78.9,hst,21.8,21.5,
260.000,40,37,2,36,1,0,0,tte-aware,-7.04,-3.21,37.64,15.00,1,0,55.569665,-7.235978,0.0,static,26.9,29.4,
263.000,10,38,2,37,1,0,0,tte-aware,-6.25,-0.71,47.46,15.00,1,0,42.845380,-6.672527,0.0,static,28.8,32.9,
264.000,22,2,37,1,36,0,0,tte-aware,-9.56,-4.52,42.19,16.00,1,0,55.897339,-10.907083,20.2,vehicular,24.6,28.7,
277.000,40,2,37,1,36,0,0,tte-aware,-5.05,-4.26,48.59,17.00,1,0,55.569665,-7.235978,0.0,static,32.0,30.1,
277.000,43,2,37,1,36,0,0,tte-aware,-6.86,-4.19,42.53,70.00,1,0,54.462886,-10.197145,28.5,vehicular,29.3,26.7,
290.000,10,2,38,1,37,0,0,tte-aware,-5.36,-4.45,46.98,27.00,1,0,42.845380,-6.672527,0.0,static,29.2,24.2,
290.000,47,1,38,0,37,0,0,tte-aware,-8.72,-4.87,39.78,31.00,1,0,25.713103,7.600853,78.9,hst,25.3,24.4,
292.000,43,37,2,36,1,0,0,tte-aware,-8.22,-3.57,48.66,15.00,1,0,54.462370,-10.203700,28.5,vehicular,29.4,30.9,
293.000,40,37,2,36,1,0,0,tte-aware,-6.69,0.07,52.40,16.00,1,0,55.569665,-7.235978,0.0,static,33.5,34.5,
296.000,32,2,37,1,36,0,0,tte-aware,-7.82,-4.32,39.63,121.00,1,0,51.172951,-12.213823,0.0,static,29.3,20.7,
301.000,42,48,2,47,1,0,0,tte-aware,-13.28,-4.50,37.72,95.00,1,0,58.586379,17.408507,2.1,pedestrian,12.6,24.2,
305.000,10,38,2,37,1,0,0,tte-aware,-9.36,-3.88,39.91,15.00,1,0,42.845380,-6.672527,0.0,static,21.9,27.1,
310.000,40,2,37,1,36,0,0,tte-aware,-5.77,0.09,50.84,17.00,0,0,55.569665,-7.235978,0.0,static,37.1,37.6,T304Timeout
313.000,32,37,2,36,1,0,0,tte-aware,-9.83,-4.67,49.09,17.00,1,0,51.172951,-12.213823,0.0,static,23.1,29.6,
313.000,47,38,1,37,0,0,0,tte-aware,-5.39,-4.63,44.04,23.00,1,0,25.729274,7.603079,78.9,hst,26.2,28.4,
321.000,43,2,37,1,36,0,0,tte-aware,-3.10,-0.07,51.34,29.00,1,0,54.461371,-10.216374,28.5,vehicular,33.6,35.5,
325.000,40,2,37,1,36,0,0,tte-aware,-6.08,-0.42,59.66,32.00,1,0,55.569665,-7.235978,0.0,static,39.2,41.7,
327.000,22,37,2,36,1,0,0,tte-aware,-4.02,-0.86,46.19,63.00,1,0,55.894432,-10.926781,20.2,vehicular,43.2,31.3,
329.000,32,2,37,1,36,0,0,tte-aware,-7.64,-2.33,40.51,16.00,1,0,51.172951,-12.213823,0.0,static,29.5,25.5,
330.000,39,37,2,36,1,0,0,tte-aware,-5.43,-4.70,47.27,151.00,1,0,61.657748,7.729151,0.0,static,37.6,29.6,
340.000,43,37,2,36,1,0,0,tte-aware,-5.13,0.44,51.08,19.00,1,0,54.460717,-10.224677,28.5,vehicular,40.2,34.8,
344.000,32,37,2,36,1,0,0,tte-aware,-7.02,-4.24,44.01,15.00,1,0,51.172951,-12.213823,0.0,static,28.0,29.2,
