time_s,ue_id,sat_id,beam_id,cell_id,tte_predicted_s,current_gain_dB,peak_gain_dB,admitted,trigger_type
112.000,0,2,0,3,43.02,22.00,25.00,0,location
112.000,28,36,0,37,39.80,22.00,25.00,0,location
112.000,34,37,0,38,34.46,22.00,25.00,0,location
113.000,17,1,0,2,39.34,22.00,25.00,0,location
113.000,33,37,0,38,79.64,28.00,31.00,1,location
113.000,34,37,0,38,42.20,22.00,25.00,0,location
113.000,36,47,0,48,40.35,22.00,25.00,0,location
114.000,0,2,0,3,37.45,22.00,25.00,0,location
114.000,17,1,0,2,38.00,22.00,25.00,0,location
115.000,17,1,0,2,36.69,22.00,25.00,0,location
115.000,34,37,0,38,36.80,22.00,25.00,0,location
116.000,0,2,0,3,40.65,22.00,25.00,0,location
116.000,1,36,0,37,40.63,22.00,25.00,0,location
116.000,17,1,0,2,37.62,22.00,25.00,0,location
116.000,21,36,0,37,36.29,22.00,25.00,0,location
116.000,27,37,0,38,29.62,22.00,25.00,0,location
116.000,36,47,0,48,39.73,22.00,25.00,0,location
117.000,0,2,0,3,40.77,22.00,25.00,1,location
117.000,17,1,0,2,43.69,22.00,25.00,1,location
117.000,21,36,0,37,38.21,22.00,25.00,0,location
117.000,28,36,0,37,44.71,22.00,25.00,1,location
117.000,33,1,0,2,67.57,28.00,31.00,1,location
117.000,34,37,0,38,37.33,22.00,25.00,0,location
117.000,36,47,0,48,42.82,22.00,25.00,0,location
118.000,0,47,0,48,37.96,22.00,25.00,0,location
118.000,1,36,0,37,43.39,22.00,25.00,0,location
118.000,21,36,0,37,40.12,22.00,25.00,1,location
118.000,27,37,0,38,38.32,22.00,25.00,0,location
119.000,0,47,0,48,41.92,22.00,25.00,1,location
119.000,17,37,0,38,45.75,22.00,25.00,0,location
119.000,27,37,0,38,36.86,22.00,25.00,0,location
119.000,28,2,0,3,40.46,22.00,25.00,1,location
119.000,33,37,0,38,81.46,28.00,31.00,1,location
119.000,34,37,0,38,39.35,22.00,25.00,0,location
119.000,36,47,0,48,38.94,22.00,25.00,0,location
120.000,17,37,0,38,41.73,22.00,25.00,0,location
120.000,21,2,0,3,46.10,22.00,25.00,0,location
120.000,27,37,0,38,41.14,22.00,25.00,0,location
120.000,34,37,0,38,33.10,22.00,25.00,1,location
121.000,0,2,0,3,42.10,22.00,25.00,0,location
121.000,2,47,0,48,32.77,22.00,25.00,1,location
121.000,21,2,0,3,42.75,22.00,25.00,0,location
121.000,28,36,0,37,43.45,22.00,25.00,1,location
121.000,32,1,0,2,29.39,18.00,21.00,0,location
121.000,36,47,0,48,43.17,22.00,25.00,0,location
122.000,2,2,0,3,35.57,22.00,25.00,0,location
122.000,17,37,0,38,44.98,22.00,25.00,0,location
122.000,28,2,0,3,44.75,22.00,25.00,1,location
123.000,1,36,0,37,45.43,25.00,28.00,1,location
123.000,2,2,0,3,39.80,22.00,25.00,0,location
123.000,21,2,0,3,45.34,22.00,25.00,0,location
123.000,36,47,0,48,38.04,22.00,25.00,0,location
124.000,21,2,0,3,47.92,22.00,25.00,0,location
124.000,28,36,0,37,40.02,22.00,25.00,0,location
125.000,17,37,0,38,43.39,22.00,25.00,0,location
125.000,21,2,0,3,46.79,22.00,25.00,0,location
125.000,36,47,0,48,45.34,22.00,25.00,0,location
126.000,2,2,0,3,41.90,22.00,25.00,0,location
126.000,7,37,0,38,50.39,25.00,28.00,1,location
126.000,21,2,0,3,40.98,22.00,25.00,0,location
126.000,36,47,0,48,37.29,22.00,25.00,1,location
127.000,0,2,0,3,36.75,22.00,25.00,0,location
127.000,1,2,0,3,47.30,22.00,25.00,0,location
127.000,17,37,0,38,43.07,22.00,25.00,0,location
127.000,21,2,0,3,46.03,22.00,25.00,0,location
127.000,27,37,0,38,37.05,22.00,25.00,0,location
127.000,28,36,0,37,41.62,22.00,25.00,0,location
128.000,0,2,0,3,37.56,22.00,25.00,0,location
128.000,11,1,0,2,38.80,22.00,25.00,0,location
128.000,17,37,0,38,40.01,22.00,25.00,1,location
128.000,36,2,0,3,36.47,22.00,25.00,0,location
129.000,0,2,0,3,34.89,22.00,25.00,0,location
129.000,21,2,0,3,35.15,22.00,25.00,0,location
129.000,27,37,0,38,42.18,22.00,25.00,0,location
129.000,36,2,0,3,37.99,22.00,25.00,1,location
130.000,0,2,0,3,36.57,22.00,25.00,0,location
130.000,2,2,0,3,35.90,22.00,25.00,0,location
130.000,27,37,0,38,39.42,22.00,25.00,0,location
130.000,28,36,0,37,42.02,22.00,25.00,0,location
130.000,36,47,0,48,42.79,22.00,25.00,0,location
131.000,2,2,0,3,36.54,22.00,25.00,0,location
131.000,17,1,0,2,42.02,22.00,25.00,1,location
131.000,27,37,0,38,37.53,22.00,25.00,0,location
131.000,28,36,0,37,47.44,22.00,25.00,0,location
131.000,35,1,0,2,32.84,18.00,21.00,0,location
131.000,36,47,0,48,39.03,22.00,25.00,0,location
132.000,17,37,0,38,43.44,22.00,25.00,0,location
132.000,21,2,0,3,41.51,22.00,25.00,0,location
132.000,28,36,0,37,41.14,22.00,25.00,0,location
132.000,36,47,0,48,42.71,22.00,25.00,0,location
133.000,0,2,0,3,42.95,22.00,25.00,1,location
133.000,21,2,0,3,44.04,22.00,25.00,0,location
133.000,26,1,0,2,38.43,22.00,25.00,1,location
133.000,27,37,0,38,43.27,22.00,25.00,1,location
133.000,28,36,0,37,43.94,22.00,25.00,1,location
133.000,36,47,0,48,44.51,22.00,25.00,0,location
134.000,0,47,0,48,48.27,25.00,28.00,1,location
134.000,2,2,0,3,42.15,22.00,25.00,0,location
134.000,4,47,0,48,38.16,22.00,25.00,0,location
134.000,21,2,0,3,42.79,22.00,25.00,0,location
134.000,26,37,0,38,60.39,25.00,28.00,1,location
135.000,4,47,0,48,36.60,22.00,25.00,0,location
135.000,21,2,0,3,42.09,22.00,25.00,0,location
135.000,36,47,0,48,46.32,22.00,25.00,0,location
136.000,17,37,0,38,41.82,22.00,25.00,0,location
136.000,36,47,0,48,41.62,22.00,25.00,0,location
137.000,17,37,0,38,40.59,22.00,25.00,0,location
137.000,21,2,0,3,43.99,22.00,25.00,0,location
137.000,27,1,0,2,33.58,22.00,25.00,0,location
137.000,36,47,0,48,41.14,22.00,25.00,0,location
137.000,41,37,0,38,36.58,22.00,25.00,0,location
138.000,27,1,0,2,36.21,22.00,25.00,0,location
138.000,36,47,0,48,40.74,22.00,25.00,1,location
138.000,41,37,0,38,32.17,22.00,25.00,0,location
139.000,4,47,0,48,35.54,22.00,25.00,1,location
139.000,21,2,0,3,45.10,22.00,25.00,0,location
139.000,28,2,0,3,40.96,22.00,25.00,0,location
139.000,36,2,0,3,36.52,22.00,25.00,1,location
139.000,41,37,0,38,37.27,22.00,25.00,0,location
140.000,1,2,0,3,43.89,22.00,25.00,0,location
140.000,27,1,0,2,33.98,22.00,25.00,0,location
140.000,28,2,0,3,38.05,22.00,25.00,0,location
141.000,0,2,0,3,37.11,22.00,25.00,0,location
141.000,21,2,0,3,38.18,22.00,25.00,0,location
141.000,27,1,0,2,35.45,22.00,25.00,0,location
142.000,4,2,0,3,37.09,22.00,25.00,0,location
142.000,17,37,0,38,39.14,22.00,25.00,0,location
142.000,21,2,0,3,40.99,22.00,25.00,0,location
142.000,27,1,0,2,34.51,22.00,25.00,0,location
142.000,28,2,0,3,42.35,22.00,25.00,0,location
