time_s,ue_id,source_cell,target_cell,source_sat,target_sat,source_beam,target_beam,algorithm,sinr_before_dB,sinr_after_dB,tte_predicted_s,time_of_stay_s,success,ping_pong,ue_lat,ue_lon,ue_speed_mps,mobility_type,elevation_before,elevation_after,failure_reason
186.000,3,2,38,1,37,0,0,location,-9.35,-4.76,0.00,1186.00,1,0,34.298223,12.091093,69.7,hst,22.9,20.0,
187.000,8,38,2,37,1,0,0,location,-100.00,-4.14,0.00,134.00,1,0,56.332579,4.752331,0.0,static,0.0,21.3,
187.000,11,38,2,37,1,0,0,location,-6.57,-4.07,0.00,1187.00,1,0,43.905219,-14.195000,81.7,hst,28.2,22.4,
188.000,15,2,38,1,37,0,0,location,-100.00,-3.33,0.00,1188.00,1,0,26.839785,-11.628291,20.6,vehicular,0.0,20.7,
189.000,25,2,38,1,37,0,0,location,-1.68,3.31,0.00,7.00,1,1,43.611752,-6.160867,24.2,vehicular,42.7,43.6,
189.000,32,38,2,37,1,0,0,location,-17.20,-4.60,0.00,1189.00,1,0,51.172951,-12.213823,0.0,static,16.6,21.9,
190.000,11,2,38,1,37,0,0,location,-12.11,-3.32,0.00,3.00,1,1,43.907384,-14.194446,81.7,hst,22.4,27.8,
190.000,39,3,37,2,36,0,0,location,-13.81,-3.34,0.00,32.00,1,0,61.657748,7.729151,0.0,static,16.5,24.7,
192.000,9,3,2,2,1,0,0,location,-100.00,-4.43,0.00,1192.00,1,0,49.961199,19.638143,0.0,static,0.0,20.6,
192.000,25,38,2,37,1,0,0,location,-1.94,1.12,0.00,3.00,1,1,43.612372,-6.160592,24.2,vehicular,42.7,42.7,
194.000,26,38,2,37,1,0,0,location,-7.39,-4.63,0.00,9.00,1,1,45.754527,-9.666258,1.2,pedestrian,30.0,32.2,
195.000,43,38,2,37,1,0,0,location,-15.70,-4.77,0.00,1195.00,1,0,54.465710,-10.161306,28.5,vehicular,11.5,20.0,
196.000,40,38,2,37,1,0,0,location,-18.60,-4.81,0.00,1196.00,1,0,55.569665,-7.235978,0.0,static,10.3,20.6,
197.000,20,38,2,37,1,0,0,location,-6.91,-2.68,0.00,1197.00,1,0,44.901105,-15.530310,21.3,vehicular,23.2,20.4,
198.000,20,2,38,1,37,0,0,location,-6.43,-3.68,0.00,1.00,1,1,44.900987,-15.530097,21.3,vehicular,20.5,23.1,
199.000,11,38,2,37,1,0,0,location,-5.34,-3.29,0.00,9.00,1,1,43.913879,-14.192784,81.7,hst,26.7,22.5,
201.000,10,38,2,37,1,0,0,location,-2.24,1.34,0.00,1201.00,1,0,42.845380,-6.672527,0.0,static,43.0,39.8,
203.000,25,2,38,1,37,0,0,location,-3.37,-0.13,0.00,11.00,1,0,43.614647,-6.159587,24.2,vehicular,42.3,39.6,
207.000,11,2,38,1,37,0,0,location,-8.31,-4.19,0.00,8.00,1,1,43.919653,-14.191307,81.7,hst,22.5,25.7,
207.000,25,38,2,37,1,0,0,location,-4.40,1.45,0.00,4.00,1,1,43.615474,-6.159221,24.2,vehicular,38.6,42.1,
208.000,10,2,38,1,37,0,0,location,-2.06,1.98,0.00,7.00,1,1,42.845380,-6.672527,0.0,static,39.2,41.1,
210.000,25,2,38,1,37,0,0,location,-5.35,-0.02,0.00,3.00,1,1,43.616095,-6.158947,24.2,vehicular,41.9,37.8,
214.000,10,38,2,37,1,0,0,location,-1.08,3.19,0.00,6.00,1,1,42.845380,-6.672527,0.0,static,39.5,38.7,
215.000,20,38,2,37,1,0,0,location,-13.12,-3.97,0.00,17.00,1,0,44.898990,-15.526477,21.3,vehicular,21.3,20.6,
218.000,11,38,2,37,1,0,0,location,-10.04,-4.02,0.00,11.00,1,0,43.927591,-14.189276,81.7,hst,24.3,22.4,
219.000,18,38,2,37,1,0,0,location,-100.00,-3.86,0.00,1219.00,1,0,52.606560,18.869869,1.7,pedestrian,0.0,21.4,
223.000,25,38,2,37,1,0,0,location,-2.44,4.21,0.00,13.00,1,0,43.618783,-6.157758,24.2,vehicular,34.7,40.9,
226.000,10,2,38,1,37,0,0,location,0.22,3.81,0.00,12.00,1,0,42.845380,-6.672527,0.0,static,37.6,36.5,
229.000,10,38,2,37,1,0,0,location,-6.44,-2.57,0.00,3.00,1,1,42.845380,-6.672527,0.0,static,35.8,37.2,
232.000,24,38,2,37,1,0,0,location,-15.17,-4.53,0.00,1232.00,1,0,47.051053,-15.792862,1.2,pedestrian,16.1,21.0,
234.000,43,2,37,1,36,0,0,location,-7.96,-4.73,0.00,39.00,1,0,54.464367,-10.178352,28.5,vehicular,24.4,20.2,
236.000,8,2,37,1,36,0,0,location,-6.52,-4.49,0.00,49.00,1,0,56.332579,4.752331,0.0,static,29.4,20.5,
237.000,8,37,2,36,1,0,0,location,-8.77,-1.94,0.00,1.00,1,1,56.332579,4.752331,0.0,static,20.6,29.6,
238.000,22,38,2,37,1,0,0,location,-100.00,-3.08,0.00,1238.00,1,0,55.898539,-10.898953,20.2,vehicular,0.0,21.7,
